country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","21-02-2025 14:00:00",21.194815,81.314770,SO2,4,26,12
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","21-02-2025 14:00:00",21.185571,81.343175,SO2,9,14,10
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","21-02-2025 14:00:00",21.185571,81.343175,OZONE,9,21,12
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","21-02-2025 14:00:00",21.224231,81.408350,PM10,52,164,97
India,Bihar,Patna,"Samanpura, Patna - BSPCB","21-02-2025 14:00:00",25.596727,85.085624,CO,70,112,106
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","21-02-2025 14:00:00",25.366336,87.117468,CO,NA,NA,NA
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","21-02-2025 14:00:00",25.892357,86.590325,PM10,104,212,132
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","21-02-2025 14:00:00",25.859655,85.77944,PM2.5,13,48,30
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","21-02-2025 14:00:00",25.859655,85.77944,NH3,2,2,2
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","21-02-2025 14:00:00",25.592539,85.227158,OZONE,15,34,21
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","21-02-2025 14:00:00",25.610369,85.132568,SO2,8,24,21
India,Bihar,Patna,"Muradpur, Patna - BSPCB","21-02-2025 14:00:00",25.619651,85.147382,PM10,194,239,217
India,Bihar,Patna,"Muradpur, Patna - BSPCB","21-02-2025 14:00:00",25.619651,85.147382,NH3,2,10,4
India,Bihar,Patna,"Samanpura, Patna - BSPCB","21-02-2025 14:00:00",25.596727,85.085624,PM10,127,366,210
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","21-02-2025 14:00:00",21.371751,81.664929,PM2.5,67,153,90
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","21-02-2025 14:00:00",22.06631475,83.33820077,SO2,5,17,6
India,Delhi,Delhi,"Alipur, Delhi - DPCC","21-02-2025 14:00:00",28.815329,77.153010,NH3,11,12,11
India,Delhi,Delhi,"Alipur, Delhi - DPCC","21-02-2025 14:00:00",28.815329,77.153010,OZONE,4,116,34
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","21-02-2025 14:00:00",26.2271665,84.3570427,PM10,32,149,79
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","21-02-2025 14:00:00",26.2271665,84.3570427,NO2,44,89,62
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","21-02-2025 14:00:00",26.2271665,84.3570427,CO,92,114,106
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","21-02-2025 14:00:00",30.751462,76.762879,CO,12,22,17
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","21-02-2025 14:00:00",30.751462,76.762879,OZONE,1,51,23
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","21-02-2025 14:00:00",22.08815,82.13737,PM2.5,56,120,83
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","21-02-2025 14:00:00",22.368195,82.746431,NO2,21,37,33
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","21-02-2025 14:00:00",22.348441,82.549611,OZONE,35,36,35
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","21-02-2025 14:00:00",21.258815,81.578979,PM10,60,153,114
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","21-02-2025 14:00:00",28.647622,77.3158090,SO2,NA,NA,NA
India,Delhi,Delhi,"Bawana, Delhi - DPCC","21-02-2025 14:00:00",28.776200,77.051074,NO2,13,59,32
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","21-02-2025 14:00:00",28.611281,77.237738,CO,18,80,41
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","21-02-2025 14:00:00",28.611281,77.237738,OZONE,1,149,32
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","21-02-2025 14:00:00",28.636429,77.201067,PM10,58,141,92
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","21-02-2025 14:00:00",28.636429,77.201067,CO,62,86,77
India,Delhi,Delhi,"Mundka, Delhi - DPCC","21-02-2025 14:00:00",28.684678,77.076574,PM2.5,60,327,185
India,Delhi,Delhi,"Mundka, Delhi - DPCC","21-02-2025 14:00:00",28.684678,77.076574,PM10,135,265,176
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","21-02-2025 14:00:00",28.60909,77.0325413,NH3,13,14,13
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","21-02-2025 14:00:00",28.60909,77.0325413,SO2,2,20,8
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","21-02-2025 14:00:00",28.60909,77.0325413,OZONE,14,40,20
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","21-02-2025 14:00:00",28.699793,77.165453,NH3,14,28,21
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","21-02-2025 14:00:00",28.699793,77.165453,OZONE,3,154,60
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","21-02-2025 14:00:00",23.107969,72.574648,NH3,3,6,4
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","21-02-2025 14:00:00",23.107969,72.574648,CO,18,82,50
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","21-02-2025 14:00:00",22.977134,72.553024,PM2.5,49,358,211
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","21-02-2025 14:00:00",22.977134,72.553024,NO2,37,125,87
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","21-02-2025 14:00:00",22.977134,72.553024,CO,7,54,20
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","21-02-2025 14:00:00",23.002657,72.591912,PM2.5,9,184,66
India,Delhi,Delhi,"Pusa, Delhi - DPCC","21-02-2025 14:00:00",28.639652,77.146275,CO,2,51,31
India,Delhi,Delhi,"Pusa, Delhi - DPCC","21-02-2025 14:00:00",28.639652,77.146275,OZONE,3,39,7
India,Delhi,Delhi,"Pusa, Delhi - IMD","21-02-2025 14:00:00",28.636110,77.173332,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Pusa, Delhi - IMD","21-02-2025 14:00:00",28.636110,77.173332,OZONE,17,99,46
India,Delhi,Delhi,"Rohini, Delhi - DPCC","21-02-2025 14:00:00",28.732528,77.119920,OZONE,5,131,40
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","21-02-2025 14:00:00",28.6514781,77.1473105,NH3,9,12,10
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","21-02-2025 14:00:00",28.5512005,77.2735737,CO,87,155,117
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","21-02-2025 14:00:00",28.656756,77.227234,CO,42,82,63
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","21-02-2025 14:00:00",28.656756,77.227234,OZONE,9,35,21
